id,prompt,A,B,C,D,E,answer
106,What are the constituents of cold dark matter?,"They are unknown, but possibilities include large objects like MACHOs or new particles such as WIMPs and axions.",They are known to be black holes and Preon stars.,They are only MACHOs.,They are clusters of brown dwarfs.,They are new particles such as RAMBOs.,A
107,What is the mechanism of FTIR?,"The mechanism of FTIR is called ray optics, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called scattering, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called frustrated TIR, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called evanescent-wave coupling, which is a good analog to visualize quantum tunneling.","The mechanism of FTIR is called total internal reflection microscopy, which is a good analog to visualize quantum tunneling.",D
108,What is the origin of the permanent moment in paramagnetism?,The permanent moment is generally due to the spin of unpaired electrons in atomic or molecular electron orbitals.,The permanent moment is due to the alignment of dipoles perpendicular to the applied field.,"The permanent moment is due to the torque provided on the magnetic moments by an applied field, which tries to align the dipoles perpendicular to the applied field.",The permanent moment is due to the quantum-mechanical properties of spin and angular momentum.,The permanent moment is due to the interaction of dipoles with one another and are randomly oriented in the absence of an external field due to thermal agitation.,A
109,What is the reason that Newton's second law cannot be used to calculate the development of a physical system in quantum mechanics?,"The existence of particle spin, which is linear momentum that can be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that is always equal to zero.","The existence of particle spin, which is linear momentum that cannot be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that cannot be described by the cumulative effect of point-like motions in space.","The existence of particle spin, which is angular momentum that can be described by the cumulative effect of point-like motions in space.",D
110,"What is the butterfly effect, as defined by Lorenz in his book ""The Essence of Chaos""?","The butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical system can cause subsequent states to differ greatly from the states that would have followed without the alteration, as defined by Einstein in his book ""The Theory of Relativity.""","The butterfly effect is the phenomenon that a large change in the initial conditions of a dynamical system has no effect on subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""","The butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical system can cause significant differences in subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""","The butterfly effect is the phenomenon that a small change in the initial conditions of a dynamical system has no effect on subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""","The butterfly effect is the phenomenon that a large change in the initial conditions of a dynamical system can cause significant differences in subsequent states, as defined by Lorenz in his book ""The Essence of Chaos.""",C
111,What is the role of CYCLOIDEA genes in the evolution of bilateral symmetry?,CYCLOIDEA genes are responsible for the selection of symmetry in the evolution of animals.,"CYCLOIDEA genes are responsible for the evolution of specialized pollinators in plants, which in turn led to the transition of radially symmetrical flowers to bilaterally symmetrical flowers.","CYCLOIDEA genes are responsible for the expression of dorsal petals in Antirrhinum majus, which control their size and shape.","CYCLOIDEA genes are responsible for the expression of transcription factors that control the expression of other genes, allowing their expression to influence developmental pathways relating to symmetry.",CYCLOIDEA genes are responsible for mutations that cause a reversion to radial symmetry.,D
112,What is the required excess quark per billion quark-antiquark pairs in the early universe in order to provide all the observed matter in the universe?,One,Five,Three,Two,Four,A
113,"What is the meaning of the term ""horror vacui""?",The quantified extension of volume in empty space.,The commonly held view that nature abhorred a vacuum.,The medieval thought experiment into the idea of a vacuum.,The success of Descartes' namesake coordinate system.,The spatial-corporeal component of Descartes' metaphysics.,B
114,What is the Droste effect?,The Droste effect is a type of optical illusion that creates the appearance of a three-dimensional image within a two-dimensional picture.,"The Droste effect is a type of packaging design used by a variety of products, named after a Dutch brand of cocoa, with an image designed by Jan Misset in 1904.","The Droste effect is a type of painting technique used by Dutch artist M. C. Escher in his 1956 lithograph Print Gallery, which portrays a gallery that depicts itself.","The Droste effect is a recursive image effect in which a picture appears within itself in a place where a similar picture would realistically be expected to appear. This creates a loop that can continue as far as the image's resolution allows, and is named after a Dutch brand of cocoa.",The Droste effect is a type of recursive algorithm used in computer programming to create self-referential images.,D
115,What is water hammer?,Water hammer is a type of water turbine used in hydroelectric generating stations to generate electricity.,Water hammer is a type of air trap or standpipe used to dampen the sound of moving water in plumbing systems.,Water hammer is a type of plumbing tool used to break pipelines and absorb the potentially damaging forces caused by moving water.,Water hammer is a type of water pump used to increase the pressure of water in pipelines.,"Water hammer is a loud banging noise resembling a hammering sound that occurs when moving water is suddenly stopped, causing a rise in pressure and resulting shock wave.",E
116,What is the reason for the stochastic nature of all observed resistance-switching processes?,"The free-energy barriers for the transition {i} → {j} are not high enough, and the memory device can switch without having to do anything.","The device is subjected to random thermal fluctuations, which trigger the switching event, but it is impossible to predict when it will occur.","The memory device is found to be in a distinct resistance state {j}, and there exists no physical one-to-one relationship between its present state and its foregoing voltage history.","The device is subjected to biases below the threshold value, which still allows for a finite probability of switching, but it is possible to predict when it will occur.","The external bias is set to a value above a certain threshold value, which reduces the free-energy barrier for the transition {i} → {j} to zero.",B
117,What is the Einstein@Home project?,The Einstein@Home project is a project that aims to detect signals from supernovae or binary black holes. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect signals from supernovae or binary black holes. It takes data from SETI and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a distributed computing project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect simple gravitational waves with constant frequency. It takes data from LIGO and GEO and sends it out in large pieces to thousands of volunteers for parallel analysis on their home computers.,The Einstein@Home project is a project that aims to detect simple gravitational waves with constant frequency. It takes data from SETI and GEO and sends it out in little pieces to thousands of volunteers for parallel analysis on their home computers.,C
118,What happens to an initially inhomogeneous physical system that is isolated by a thermodynamic operation?,It will change its internal state only if it is composed of a single subsystem and has internal walls.,It will change its internal state only if it is composed of several subsystems separated from each other by walls.,It will remain in its initial state indefinitely.,It will generally change its internal state over time.,It will change its internal state only if it is composed of a single subsystem.,D
119,"What is the concept of simultaneity in Einstein's book, Relativity?","Simultaneity is relative, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame need not be judged as simultaneous by a second observer in a different inertial frame of reference.","Simultaneity is relative, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame will always be judged as simultaneous by a second observer in a different inertial frame of reference.","Simultaneity is absolute, meaning that two events that appear simultaneous to an observer in a particular inertial reference frame will always be judged as simultaneous by a second observer in a different inertial frame of reference.",Simultaneity is a concept that applies only to Newtonian theories and not to relativistic theories.,Simultaneity is a concept that applies only to relativistic theories and not to Newtonian theories.,A
120,What is the Josephson effect?,"The Josephson effect is a phenomenon exploited by superconducting devices such as SQUIDs. It is used in the most accurate available measurements of the magnetic flux quantum Φ0 = h/(2e), where h is the Planck constant.","The Josephson effect is a phenomenon exploited by magnetic devices such as SQUIDs. It is used in the most accurate available measurements of the magnetic flux quantum Φ0 = h/(2e), where h is the magnetic constant.","The Josephson effect is a phenomenon exploited by superconducting devices such as SQUIDs. It is used in the most accurate available measurements of the electric flux quantum Φ0 = h/(2e), where h is the Planck constant.","The Josephson effect is a phenomenon exploited by superconducting devices such as SQUIDs. It is used in the most accurate available measurements of the magnetic flux quantum Φ0 = e/(2h), where h is the Planck constant.","The Josephson effect is a phenomenon exploited by magnetic devices such as SQUIDs. It is used in the most accurate available measurements of the electric flux quantum Φ0 = h/(2e), where h is the magnetic constant.",A
121,What is the SI unit of the physical quantity m/Q?,Meter per second,Pascal per second,Kilogram per coulomb,Newton per meter,Joule per second,C
122,How many crystallographic point groups are there in three-dimensional space?,7,32,14,5,27,B
123,What is the Liouville density?,The Liouville density is a probability distribution that specifies the probability of finding a particle at a certain position in phase space for a collection of particles.,The Liouville density is a quasiprobability distribution that plays an analogous role to the probability distribution for a quantum particle.,The Liouville density is a bounded probability distribution that is a convenient indicator of quantum-mechanical interference.,The Liouville density is a probability distribution that takes on negative values for states which have no classical model.,The Liouville density is a probability distribution that satisfies all the properties of a conventional probability distribution for a quantum particle.,A
124,What are the four qualitative levels of crystallinity described by geologists?,"Holocrystalline, hypocrystalline, hypercrystalline, and holohyaline","Holocrystalline, hypocrystalline, hypohyaline, and holohyaline","Holocrystalline, hypohyaline, hypercrystalline, and holohyaline","Holocrystalline, hypocrystalline, hypercrystalline, and hyperhyaline","Holocrystalline, hypocrystalline, hypohyaline, and hyperhyaline",B
125,What is an order parameter?,An order parameter is a measure of the temperature of a physical system.,An order parameter is a measure of the gravitational force in a physical system.,An order parameter is a measure of the magnetic field strength in a physical system.,An order parameter is a measure of the degree of symmetry breaking in a physical system.,An order parameter is a measure of the rotational symmetry in a physical system.,D
126,What is the significance of the discovery of the Crab pulsar?,The discovery of the Crab pulsar confirmed the black hole model of pulsars.,The discovery of the Crab pulsar confirmed the rotating neutron star model of pulsars.,The discovery of the Crab pulsar confirmed the white dwarf model of pulsars.,The discovery of the Crab pulsar disproved the rotating neutron star model of pulsars.,The discovery of the Crab pulsar confirmed the red giant model of pulsars.,B
127,What is the De Haas-Van Alphen effect?,The measurement of the electronic properties of a material using several experimental techniques.,The complex number quantity that describes AC susceptibility and AC permeability.,"The oscillation of the differential susceptibility as a function of 1/H in metals under strong magnetic fields, which relates the period of the susceptibility with the Fermi surface of the material.",The analogue non-linear relation between magnetization and magnetic field in antiferromagnetic materials.,The measurement of magnetic susceptibility in response to an AC magnetic field.,C
128,"What is a ""coffee ring"" in physics?",A type of coffee that is made by boiling coffee grounds in water.,"A pattern left by a particle-laden liquid after it is spilled, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.",A type of coffee that is made by mixing instant coffee with hot water.,A type of coffee that is made by pouring hot water over coffee grounds in a filter.,"A pattern left by a particle-laden liquid after it evaporates, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.",E
129,What is the significance of probability amplitudes in quantum mechanics?,Probability amplitudes are used to determine the mass of particles in quantum mechanics.,Probability amplitudes have no significance in quantum mechanics.,Probability amplitudes are used to determine the velocity of particles in quantum mechanics.,"Probability amplitudes act as the equivalent of conventional probabilities in classical mechanics, with many analogous laws.","Probability amplitudes act as the equivalent of conventional probabilities in quantum mechanics, with many analogous laws.",E
130,What is the relationship between the amplitude of a sound wave and its loudness?,The amplitude of a sound wave is related to its loudness.,The amplitude of a sound wave is directly proportional to its frequency.,The amplitude of a sound wave is not related to its loudness.,The amplitude of a sound wave is not related to its frequency.,The amplitude of a sound wave is inversely related to its loudness.,A
131,What are coherent turbulent structures?,"Coherent turbulent structures are the most elementary components of complex multi-scale and chaotic motions in turbulent flows, which do not have temporal coherence and persist in their form for long enough periods that the methods of time-averaged statistics can be applied.","Coherent turbulent structures are the most elementary components of complex multi-scale and chaotic motions in turbulent flows, which have temporal coherence and persist in their form for very short periods that the methods of time-averaged statistics cannot be applied.","Coherent turbulent structures are more elementary components of complex multi-scale and chaotic motions in turbulent flows, which have temporal coherence and persist in their form for long enough periods that the methods of time-averaged statistics can be applied.","Coherent turbulent structures are the most complex and chaotic motions in turbulent flows, which have temporal coherence and persist in their form for long enough periods that the methods of time-averaged statistics can be applied.","Coherent turbulent structures are the most complex and chaotic motions in turbulent flows, which do not have temporal coherence and persist in their form for very short periods that the methods of time-averaged statistics cannot be applied.",C
132,What is the main factor that determines the occurrence of each type of supernova?,The star's distance from Earth,The star's age,The star's temperature,The star's luminosity,The progenitor star's metallicity,E
133,What is the Erlangen program?,"The Erlangen program is a method of characterizing geometries based on statistics and probability, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.","The Erlangen program is a method of characterizing geometries based on group theory and projective geometry, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.","The Erlangen program is a method of characterizing geometries based on algebra and trigonometry, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.","The Erlangen program is a method of characterizing geometries based on geometry and topology, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.","The Erlangen program is a method of characterizing geometries based on calculus and differential equations, published by Felix Klein in 1872 as Vergleichende Betrachtungen über neuere geometrische Forschungen.",B
134,What is emissivity?,Emissivity is a measure of how well a surface resists deformation under stress.,Emissivity is a measure of how well a surface conducts heat.,Emissivity is a measure of how well a surface absorbs and emits thermal radiation.,Emissivity is a measure of how well a surface reflects visible light.,Emissivity is a measure of how well a surface absorbs and emits sound waves.,C
135,Who was the first person to describe the pulmonary circulation system?,Galen,Avicenna,Hippocrates,Aristotle,Ibn al-Nafis,E
136,What is the fate of a carbocation formed in crystalline naphthalene?,"The carbocation remains positively charged, trapped in the solid.","The carbocation undergoes spontaneous bond breaking, yielding a carbon-helium ion.","The carbocation forms a bond with helium, becoming a stable compound.","The carbocation undergoes decay, forming a negatively charged ion.","The carbocation gains an electron from surrounding molecules, becoming an electrically neutral radical.",E
137,What is the main focus of the Environmental Science Center at Qatar University?,"Environmental studies, with a main focus on marine science, atmospheric and political sciences.","Environmental studies, with a main focus on marine science, atmospheric and physical sciences.","Environmental studies, with a main focus on marine science, atmospheric and social sciences.","Environmental studies, with a main focus on marine science, atmospheric and biological sciences.","Environmental studies, with a main focus on space science, atmospheric and biological sciences.",D
138,What is the purpose of obtaining surgical resection specimens?,"To remove an entire diseased area or organ for definitive surgical treatment of a disease, with pathological analysis of the specimen used to confirm the diagnosis.",To perform visual and microscopic tests on tissue samples using automated analysers and cultures.,To work in close collaboration with medical technologists and hospital administrations.,To administer a variety of tests of the biophysical properties of tissue samples.,To obtain bodily fluids such as blood and urine for laboratory analysis of disease diagnosis.,A
139,What is the function of mammary glands in mammals?,Mammary glands produce milk to feed the young.,Mammary glands help mammals draw air into the lungs.,Mammary glands help mammals breathe with lungs.,Mammary glands excrete nitrogenous waste as urea.,Mammary glands separate oxygenated and deoxygenated blood in the mammalian heart.,A
140,What is the relationship between interstellar and cometary chemistry?,"Cometary chemistry is responsible for the formation of interstellar molecules, but there is no direct connection between the two.","Interstellar and cometary chemistry are the same thing, just with different names.","There is a possible connection between interstellar and cometary chemistry, as indicated by the similarity between interstellar and cometary ices and the analysis of organics from comet samples returned by the Stardust mission.","There is no relationship between interstellar and cometary chemistry, as they are two completely different phenomena.","Interstellar chemistry is responsible for the formation of comets, but there is no direct connection between the two.",C
141,What is the reason for recycling rare metals according to the United Nations?,"The demand for rare metals will quickly exceed the consumed tonnage in 2013, but recycling rare metals with a worldwide production higher than 100 000 t/year is a good way to conserve natural resources and energy.","The demand for rare metals will decrease in 2013, and recycling rare metals with a worldwide production lower than 100 000 t/year is a good way to conserve natural resources and energy.","The demand for rare metals will quickly exceed the consumed tonnage in 2013, but recycling rare metals with a worldwide production higher than 100 000 t/year is not a good way to conserve natural resources and energy.","The demand for rare metals will quickly exceed the consumed tonnage in 2013, but recycling rare metals with a worldwide production lower than 100 000 t/year is not a good way to conserve natural resources and energy.","The demand for rare metals will quickly exceed the consumed tonnage in 2013, and recycling rare metals with a worldwide production lower than 100 000 t/year is urgent and priority should be placed on it in order to conserve natural resources and energy.",E
142,What is radiometric dating?,"Radiometric dating is a method of measuring geological time using geological sedimentation, discovered in the early 20th century.","Radiometric dating is a method of measuring geological time using radioactive decay, discovered in the early 20th century.","Radiometric dating is a method of measuring geological time using the position of rocks, discovered in the early 20th century.","Radiometric dating is a method of measuring geological time using the age of fossils, discovered in the early 20th century.","Radiometric dating is a method of measuring geological time using the cooling of the earth, discovered in the early 20th century.",B
143,What is the role of methane in Fischer-Tropsch processes?,Methane is partially converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Methane is used as a catalyst in Fischer-Tropsch processes.,Methane is not used in Fischer-Tropsch processes.,Methane is fully converted to carbon monoxide for utilization in Fischer-Tropsch processes.,Methane is a byproduct of Fischer-Tropsch processes.,A
144,What is a phageome?,"A community of viruses and their metagenomes localized in a particular environment, similar to a microbiome.","A community of bacteria and their metagenomes localized in a particular environment, similar to a microbiome.","A community of bacteriophages and their metagenomes localized in a particular environment, similar to a microbiome.","A community of fungi and their metagenomes localized in a particular environment, similar to a microbiome.","A community of archaea and their metagenomes localized in a particular environment, similar to a microbiome.",C
145,What is organography?,Organography is the study of the stem and root of plants.,Organography is the scientific description of the structure and function of the organs of living things.,"Organography is the study of the development of organs from the ""growing points"" or apical meristems.",Organography is the study of the commonality of development between foliage leaves and floral leaves.,Organography is the study of the relationship between different organs and different functions in plants.,B
146,What is the definition of anatomy?,Anatomy is the rarely used term that refers to the superstructure of polymers such as fiber formation or to larger composite assemblies.,Anatomy is a branch of morphology that deals with the structure of organisms.,"Anatomy is the study of the effects of external factors upon the morphology of organisms under experimental conditions, such as the effect of genetic mutation.","Anatomy is the analysis of the patterns of the locus of structures within the body plan of an organism, and forms the basis of taxonomical categorization.",Anatomy is the study of the relationship between the structure and function of morphological features.,B
147,What is a trophic level in an ecological pyramid?,A group of organisms that acquire most of their energy from the level above them in the pyramid.,A group of organisms that acquire most of their energy from the abiotic sources in the ecosystem.,A group of organisms that acquire most of their energy from the level below them in the pyramid.,A group of organisms that acquire most of their energy from the same level in the pyramid.,A group of organisms that do not acquire any energy from the ecosystem.,C
148,What is a crossover experiment?,An experiment that involves crossing over two different types of materials to create a new material.,"A type of experiment used to distinguish between different mechanisms proposed for a chemical reaction, such as intermolecular vs. intramolecular mechanisms.",An experiment that involves crossing over two different types of organisms to create a hybrid.,An experiment that involves crossing over two different types of cells to create a new cell.,An experiment that involves crossing over two different chemicals to create a new substance.,B
149,What is the role of IL-10 in the formation of Tr1 cells and tolerogenic DCs?,"IL-10 inhibits the formation of Tr1 cells and tolerogenic DCs, which are dependent on TGF-β and Tregs. Tr1 cells produce low levels of IL-10 and TGF-β, while tolerogenic DCs produce TGF-β that is important for Tr1 formation.","IL-10 induces the formation of Tr1 cells and tolerogenic DCs, which are dependent on IL-10 and TGF-β, but differ from Tregs by lacking expression of Foxp3. Tr1 cells produce high levels of IL-10 and TGF-β, while tolerogenic DCs produce IL-10 that is important for Tr1 formation.",IL-10 has no role in the formation of Tr1 cells and tolerogenic DCs. TGF-β and Tregs are the only factors involved in the formation of Tr1 cells and tolerogenic DCs.,"IL-10 induces the formation of Tr1 cells and tolerogenic DCs, which are dependent on IL-10 and Tregs, but differ from Tregs by expressing Foxp3. Tr1 cells produce low levels of IL-10 and TGF-β, while tolerogenic DCs produce IL-10 that is important for Tr1 formation.","IL-10 induces the formation of Tregs, which are dependent on TGF-β and Foxp3. Tr1 cells and tolerogenic DCs are not involved in this process.",B
150,"What is the reason behind the designation of Class L dwarfs, and what is their color and composition?","Class L dwarfs are hotter than M stars and are designated L because L is the remaining letter alphabetically closest to M. They are bright blue in color and are brightest in ultraviolet. Their atmosphere is hot enough to allow metal hydrides and alkali metals to be prominent in their spectra. Some of these objects have masses large enough to support hydrogen fusion and are therefore stars, but most are of substellar mass and are therefore brown dwarfs.","Class L dwarfs are cooler than M stars and are designated L because L is the remaining letter alphabetically closest to M. They are dark red in color and are brightest in infrared. Their atmosphere is cool enough to allow metal hydrides and alkali metals to be prominent in their spectra. Some of these objects have masses large enough to support hydrogen fusion and are therefore stars, but most are of substellar mass and are therefore brown dwarfs.","Class L dwarfs are hotter than M stars and are designated L because L is the next letter alphabetically after M. They are dark red in color and are brightest in infrared. Their atmosphere is cool enough to allow metal hydrides and alkali metals to be prominent in their spectra. Some of these objects have masses large enough to support hydrogen fusion and are therefore stars, but most are of substellar mass and are therefore brown dwarfs.","Class L dwarfs are cooler than M stars and are designated L because L is the next letter alphabetically after M. They are bright yellow in color and are brightest in visible light. Their atmosphere is hot enough to allow metal hydrides and alkali metals to be prominent in their spectra. Some of these objects have masses large enough to support hydrogen fusion and are therefore stars, but most are of substellar mass and are therefore brown dwarfs.","Class L dwarfs are cooler than M stars and are designated L because L is the remaining letter alphabetically closest to M. They are bright green in color and are brightest in visible light. Their atmosphere is cool enough to allow metal hydrides and alkali metals to be prominent in their spectra. Some of these objects have masses small enough to support hydrogen fusion and are therefore stars, but most are of substellar mass and are therefore brown dwarfs.",B
151,What was Isaac Newton's explanation for rectilinear propagation of light?,"Isaac Newton rejected the wave theory of light and proposed that light consists of corpuscles that are subject to a force acting parallel to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the far side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton rejected the wave theory of light and proposed that light consists of corpuscles that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the near side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton accepted the wave theory of light and proposed that light consists of transverse waves that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching wave was just enough to reach the far side of the force field; at more oblique incidence, the wave would be turned back.","Isaac Newton rejected the wave theory of light and proposed that light consists of corpuscles that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the far side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton accepted the wave theory of light and proposed that light consists of longitudinal waves that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching wave was just enough to reach the far side of the force field; at more oblique incidence, the wave would be turned back.",D
152,What is the relationship between chemical potential and quarks/antiquarks?,"Chemical potential, represented by μ, is a measure of the imbalance between quarks and antiquarks in a system. Higher μ indicates a stronger bias favoring quarks over antiquarks.","Chemical potential, represented by μ, is a measure of the balance between quarks and antiquarks in a system. Higher μ indicates an equal number of quarks and antiquarks.","Chemical potential, represented by μ, is a measure of the imbalance between quarks and antiquarks in a system. Higher μ indicates a stronger bias favoring antiquarks over quarks.","Chemical potential, represented by μ, is a measure of the density of antiquarks in a system. Higher μ indicates a higher density of antiquarks.","Chemical potential, represented by μ, is a measure of the density of quarks in a system. Higher μ indicates a higher density of quarks.",A
153,What is the American Petroleum Institute (API) gravity?,API gravity is a measure of how heavy or light a petroleum liquid is compared to water. It is an inverse measure of a petroleum liquid's density relative to that of water and is graduated in degrees on a hydrometer instrument.,API gravity is a measure of the viscosity of a petroleum liquid. It is an inverse measure of a petroleum liquid's density relative to that of water and is graduated in degrees on a hydrometer instrument.,API gravity is a measure of the temperature at which a petroleum liquid freezes. It is an inverse measure of a petroleum liquid's density relative to that of water and is graduated in degrees on a hydrometer instrument.,API gravity is a measure of how much petroleum liquid is present in a given volume of water. It is an inverse measure of a petroleum liquid's density relative to that of water and is graduated in degrees on a hydrometer instrument.,API gravity is a measure of the acidity or alkalinity of a petroleum liquid. It is an inverse measure of a petroleum liquid's density relative to that of water and is graduated in degrees on a hydrometer instrument.,A
154,What are the two main factors that cause resistance in a metal?,"The amount of resistance in a metal is mainly caused by the temperature and the pressure applied to the metal. Higher temperatures cause bigger vibrations, and pressure causes the metal to become more compact, leading to more resistance.","The amount of resistance in a metal is mainly caused by the temperature and the purity of the metal. Higher temperatures cause bigger vibrations, and a mixture of different ions acts as an irregularity.","The amount of resistance in a metal is mainly caused by the temperature and the thickness of the metal. Higher temperatures cause bigger vibrations, and thicker metals have more irregularities, leading to more resistance.","The amount of resistance in a metal is mainly caused by the purity of the metal and the amount of pressure applied to the metal. A mixture of different ions acts as an irregularity, and pressure causes the metal to become more compact, leading to more resistance.","The amount of resistance in a metal is mainly caused by the purity of the metal and the thickness of the metal. A mixture of different ions acts as an irregularity, and thicker metals have more irregularities, leading to more resistance.",B
155,What is the significance of the redshift-distance relationship in determining the expansion history of the universe?,"Observations of the redshift-distance relationship can be used to determine the expansion history of the universe and the matter and energy content, especially for galaxies whose light has been travelling to us for much shorter times.","Observations of the redshift-distance relationship can be used to determine the age of the universe and the matter and energy content, especially for nearby galaxies whose light has been travelling to us for much shorter times.","Observations of the redshift-distance relationship can be used to determine the expansion history of the universe and the matter and energy content, especially for nearby galaxies whose light has been travelling to us for much longer times.","Observations of the redshift-distance relationship can be used to determine the age of the universe and the matter and energy content, especially for distant galaxies whose light has been travelling to us for much shorter times.","Observations of the redshift-distance relationship can be used to determine the expansion history of the universe and the matter and energy content, especially for distant galaxies whose light has been travelling to us for much longer times.",E
156,What is the Evans balance?,"The Evans balance is a system used to measure the change in weight of a sample when an electromagnet is turned on, which is proportional to the susceptibility.",The Evans balance is a system used to measure the dependence of the NMR frequency of a liquid sample on its shape or orientation to determine its susceptibility.,The Evans balance is a system used to measure the magnetic field distortion around a sample immersed in water inside an MR scanner to determine its susceptibility.,The Evans balance is a system used to measure the susceptibility of a sample by measuring the force change on a strong compact magnet upon insertion of the sample.,"The Evans balance is a system used to measure the magnetic susceptibility of most crystals, which is not a scalar quantity.",D
157,What is the definition of dimension in mathematics?,"The dimension of an object is the number of independent parameters or coordinates needed to define the position of a point constrained to be on the object, and is an extrinsic property of the object, dependent on the dimension of the space in which it is embedded.","The dimension of an object is the number of degrees of freedom of a point that moves on this object, and is an extrinsic property of the object, dependent on the dimension of the space in which it is embedded.","The dimension of an object is the number of independent parameters or coordinates needed to define the position of a point constrained to be on the object, and is an intrinsic property of the object, independent of the dimension of the space in which it is embedded.","The dimension of an object is the number of directions in which a point can move on the object, and is an extrinsic property of the object, dependent on the dimension of the space in which it is embedded.","The dimension of an object is the number of directions in which a point can move on the object, and is an intrinsic property of the object, independent of the dimension of the space in which it is embedded.",C
158,What is accelerator-based light-ion fusion?,"Accelerator-based light-ion fusion is a technique that uses particle accelerators to achieve particle kinetic energies sufficient to induce light-ion fusion reactions. This method is relatively easy to implement and can be done in an efficient manner, requiring only a vacuum tube, a pair of electrodes, and a high-voltage transformer. Fusion can be observed with as little as 10 kV between the electrodes.","Accelerator-based light-ion fusion is a technique that uses particle accelerators to achieve particle kinetic energies sufficient to induce heavy-ion fusion reactions. This method is relatively difficult to implement and requires a complex system of vacuum tubes, electrodes, and transformers. Fusion can be observed with as little as 10 kV between the electrodes.","Accelerator-based light-ion fusion is a technique that uses particle accelerators to achieve particle kinetic energies sufficient to induce light-ion fusion reactions. This method is relatively difficult to implement and requires a complex system of vacuum tubes, electrodes, and transformers. Fusion can be observed with as little as 100 kV between the electrodes.","Accelerator-based light-ion fusion is a technique that uses particle accelerators to achieve particle kinetic energies sufficient to induce heavy-ion fusion reactions. This method is relatively easy to implement and can be done in an efficient manner, requiring only a vacuum tube, a pair of electrodes, and a high-voltage transformer. Fusion can be observed with as little as 100 kV between the electrodes.","Accelerator-based light-ion fusion is a technique that uses particle accelerators to achieve particle kinetic energies sufficient to induce light-ion fission reactions. This method is relatively easy to implement and can be done in an efficient manner, requiring only a vacuum tube, a pair of electrodes, and a high-voltage transformer. Fission can be observed with as little as 10 kV between the electrodes.",A
159,What is the interstellar medium (ISM)?,"The matter and radiation that exist in the space between the star systems in a galaxy, including gas in ionic, atomic, and molecular form, as well as dust and cosmic rays. It fills interstellar space and blends smoothly into the surrounding intergalactic space.","The matter and radiation that exist in the space between stars in a galaxy, including gas in ionic, atomic, and molecular form, as well as dust and cosmic rays. It fills interstellar space and blends smoothly into the surrounding interplanetary space.","The matter and radiation that exist in the space between galaxies, including gas in ionic, atomic, and molecular form, as well as dust and cosmic rays. It fills intergalactic space and blends smoothly into the surrounding interstellar space.","The matter and radiation that exist in the space between planets in a solar system, including gas in ionic, atomic, and molecular form, as well as dust and cosmic rays. It fills interplanetary space and blends smoothly into the surrounding interstellar space.","The matter and radiation that exist within a star, including gas in ionic, atomic, and molecular form, as well as dust and cosmic rays. It fills the star and blends smoothly into the surrounding interstellar space.",A
